Value,"County, State"
219000.0,"Alamosa, CO"
325000.0,"Rio Grande, CO"
228950.0,"Rio Blanco, CO"
279000.0,"Fremont, CO"
400000.0,"Larimer, CO"
397904.0,"Clear Creek, CO"
159500.0,"Costilla, CO"
199900.0,"Moffat, CO"
479000.0,"Gilpin, CO"
474900.0,"Chaffee, CO"
699000.0,"Routt, CO"
339500.0,"Delta, CO"
375000.0,"Adams, CO"
1240000.0,"Eagle, CO"
505000.0,"La Plata, CO"
489900.0,"Broomfield, CO"
475000.0,"Garfield, CO"
2895000.0,"Pitkin, CO"
599000.0,"Ouray, CO"
285000.0,"Saguache, CO"
343950.0,"Montezuma, CO"
414000.0,"Custer, CO"
299900.0,"Mesa, CO"
259900.0,"New Haven, CT"
239450.0,"Windham, CT"
247450.0,"Hartford, CT"
305000.0,"Litchfield, CT"
572214.0,"Fairfield, CT"
315000.0,"Middlesex, CT"
268500.0,"New London, CT"
264450.0,"Tolland, CT"
599900.0,"District of Columbia, DC"
261704.5,"New Castle, DE"
354900.0,"Sussex, DE"
260000.0,"Kent, DE"
172900.0,"Calhoun, FL"
224000.0,"Duval, FL"
733000.0,"Monroe, FL"
179450.0,"Suwannee, FL"
273240.0,"Lee, FL"
211400.5,"Baker, FL"
160000.0,"Holmes, FL"
202449.5,"Washington, FL"
359000.0,"Saint Johns, FL"
155000.0,"Gadsden, FL"
257500.0,"Brevard, FL"
198144.0,"Columbia, FL"
253200.0,"Charlotte, FL"
236990.0,"Clay, FL"
155000.0,"Madison, FL"
224990.0,"Polk, FL"
319000.0,"Okaloosa, FL"
260275.0,"Santa Rosa, FL"
282900.0,"Bay, FL"
139900.0,"Jackson, FL"
169000.0,"Glades, FL"
316490.0,"Nassau, FL"
294000.0,"Pinellas, FL"
305947.5,"Seminole, FL"
369500.0,"Martin, FL"
349900.0,"Palm Beach, FL"
222500.0,"Leon, FL"
249900.0,"Saint Lucie, FL"
164950.0,"Dixie, FL"
264000.0,"Lake, FL"
169900.0,"Putnam, FL"
243450.0,"Escambia, FL"
248500.0,"Volusia, FL"
274000.0,"Sumter, FL"
279900.0,"Flagler, FL"
212000.0,"De Soto, FL"
215000.0,"Gilchrist, FL"
415000.0,"Collier, FL"
325000.0,"Manatee, FL"
195900.0,"Marion, FL"
243245.0,"Pasco, FL"
164900.0,"Highlands, FL"
199900.0,"Bradford, FL"
399000.0,"Miami-Dade, FL"
235800.0,"Wakulla, FL"
339000.0,"Sarasota, FL"
274900.0,"Hillsborough, FL"
199500.0,"Lafayette, FL"
310000.0,"Broward, FL"
272990.0,"Osceola, FL"
399000.0,"Franklin, FL"
239790.0,"Alachua, FL"
229000.0,"Levy, FL"
369950.0,"Gulf, FL"
599900.0,"Walton, FL"
199000.0,"Okeechobee, FL"
185900.0,"Citrus, FL"
189700.0,"Hardee, FL"
159900.0,"Taylor, FL"
179200.0,"Hendry, FL"
325000.0,"Orange, FL"
199900.0,"Hernando, FL"
289000.0,"Indian River, FL"
249900.0,"Columbia, GA"
138000.0,"Bibb, GA"
97450.0,"Mitchell, GA"
239000.0,"Paulding, GA"
290000.0,"Gwinnett, GA"
149500.0,"Pulaski, GA"
144000.0,"Lanier, GA"
209500.0,"Newton, GA"
204117.5,"Bartow, GA"
119950.0,"Washington, GA"
175000.0,"Whitfield, GA"
289900.0,"Dawson, GA"
300000.0,"Putnam, GA"
195000.0,"Butts, GA"
161990.0,"Walker, GA"
359945.0,"Fayette, GA"
159900.0,"Lowndes, GA"
249900.0,"Union, GA"
379000.0,"Fannin, GA"
215000.0,"Clarke, GA"
184200.0,"Gordon, GA"
199900.0,"Carroll, GA"
134900.0,"Early, GA"
205000.0,"Franklin, GA"
157500.0,"Charlton, GA"
129900.0,"Emanuel, GA"
221990.0,"Douglas, GA"
178400.0,"Burke, GA"
374900.0,"Glynn, GA"
282700.0,"Towns, GA"
139900.0,"Meriwether, GA"
132450.0,"Taylor, GA"
350000.0,"Fulton, GA"
225000.0,"Barrow, GA"
180000.0,"Spalding, GA"
178700.0,"Troup, GA"
209900.0,"Catoosa, GA"
205250.0,"Houston, GA"
87500.0,"Dougherty, GA"
124900.0,"Dodge, GA"
149000.0,"Liberty, GA"
150000.0,"Crawford, GA"
174700.0,"Bulloch, GA"
225000.0,"Rockdale, GA"
179500.0,"Crisp, GA"
194900.0,"Candler, GA"
300400.0,"Coweta, GA"
179800.0,"Floyd, GA"
149950.0,"Worth, GA"
264500.0,"Jackson, GA"
280900.0,"Walton, GA"
285000.0,"Dekalb, GA"
180900.0,"Peach, GA"
221721.0,"Banks, GA"
185000.0,"Lee, GA"
109000.0,"Screven, GA"
158400.0,"Stephens, GA"
179900.0,"Colquitt, GA"
234437.5,"Henry, GA"
197750.0,"Thomas, GA"
269824.5,"Gilmer, GA"
212900.0,"Madison, GA"
218900.0,"Oglethorpe, GA"
339000.0,"Cherokee, GA"
144900.0,"Berrien, GA"
319900.0,"Monroe, GA"
239900.0,"Habersham, GA"
136000.0,"Sumter, GA"
134900.0,"Coffee, GA"
219000.0,"White, GA"
149500.0,"Upson, GA"
229000.0,"Dade, GA"
129900.0,"Ware, GA"
149900.0,"Toombs, GA"
162445.0,"Murray, GA"
152450.0,"Elbert, GA"
155000.0,"Clayton, GA"
264715.0,"Chatham, GA"
482450.0,"Greene, GA"
319000.0,"Rabun, GA"
184900.0,"Pierce, GA"
177000.0,"Decatur, GA"
145400.0,"Brooks, GA"
158950.0,"Polk, GA"
385450.0,"Oconee, GA"
129900.0,"Brantley, GA"
181300.0,"Long, GA"
284450.0,"Bryan, GA"
171950.0,"Wayne, GA"
129900.0,"Richmond, GA"
345000.0,"Morgan, GA"
228000.0,"Hart, GA"
214900.0,"Camden, GA"
188300.0,"Haralson, GA"
325000.0,"Cobb, GA"
175000.0,"Grady, GA"
287450.0,"Pike, GA"
300000.0,"Hall, GA"
224222.5,"Effingham, GA"
154000.0,"Appling, GA"
390000.0,"Forsyth, GA"
299700.0,"Pickens, GA"
129900.0,"Muscogee, GA"
280000.0,"Lumpkin, GA"
124900.0,"Tattnall, GA"
183762.0,"Jones, GA"
109450.0,"Chattooga, GA"
189500.0,"Lamar, GA"
162644.0,"Laurens, GA"
238750.0,"McIntosh, GA"
292900.0,"Harris, GA"
638888.0,"Honolulu, HI"
799000.0,"Maui, HI"
875000.0,"Kauai, HI"
400000.0,"Hawaii, HI"
99500.0,"Floyd, IA"
89900.0,"Montgomery, IA"
129950.0,"Clarke, IA"
130950.0,"Iowa, IA"
118450.0,"Franklin, IA"
109000.0,"Mitchell, IA"
85900.0,"Hardin, IA"
137250.0,"Buchanan, IA"
151000.0,"Woodbury, IA"
216700.0,"Polk, IA"
75000.0,"Calhoun, IA"
89250.0,"Greene, IA"
134450.0,"Jasper, IA"
185000.0,"Delaware, IA"
114900.0,"Crawford, IA"
104500.0,"Lee, IA"
179900.0,"Winneshiek, IA"
180950.0,"Sioux, IA"
162400.0,"Washington, IA"
189450.0,"Marion, IA"
89500.0,"Audubon, IA"
176900.0,"Cedar, IA"
145000.0,"Jefferson, IA"
209450.0,"Dubuque, IA"
116000.0,"Tama, IA"
134900.0,"Clay, IA"
275000.0,"Johnson, IA"
154900.0,"Black Hawk, IA"
159000.0,"Pottawattamie, IA"
295000.0,"Dickinson, IA"
90000.0,"Wapello, IA"
235650.0,"Story, IA"
110000.0,"Winnebago, IA"
132000.0,"Buena Vista, IA"
129900.0,"Des Moines, IA"
204900.0,"Jackson, IA"
134900.0,"Muscatine, IA"
91200.0,"Cherokee, IA"
149900.0,"Boone, IA"
159000.0,"Cerro Gordo, IA"
217000.0,"Mills, IA"
140000.0,"Allamakee, IA"
195000.0,"Linn, IA"
129000.0,"Shelby, IA"
122900.0,"Butler, IA"
285000.0,"Dallas, IA"
249900.0,"Warren, IA"
124900.0,"Chickasaw, IA"
84000.0,"Union, IA"
90000.0,"Appanoose, IA"
159975.0,"Benton, IA"
