county,cohort,perc,zsc,state
Pipestone,110.0,0.86,-0.01,MN
Polk,383.0,0.89,-0.34,MN
Pope,76.0,0.91,-0.56,MN
Ramsey,6597.0,0.77,1.13,MN
Red Lake,51.0,0.94,-0.97,MN
Redwood,182.0,0.93,-0.81,MN
Renville,126.0,0.91,-0.62,MN
Rice,729.0,0.79,0.84,MN
Rock,132.0,0.94,-0.95,MN
Roseau,189.0,0.9,-0.46,MN
Scott,1917.0,0.86,-0.01,MN
Sherburne,1117.0,0.89,-0.39,MN
Sibley,165.0,0.87,-0.05,MN
St. Louis,1975.0,0.79,0.85,MN
Stearns,1992.0,0.86,0.03,MN
Steele,485.0,0.89,-0.37,MN
Stevens,129.0,1.0,-1.7,MN
Swift,127.0,0.96,-1.21,MN
Todd,229.0,0.91,-0.62,MN
Traverse,37.0,0.95,-1.03,MN
Wabasha,268.0,0.9,-0.41,MN
Wadena,230.0,0.84,0.29,MN
Waseca,287.0,0.87,-0.1,MN
Washington,3449.0,0.9,-0.46,MN
Watonwan,136.0,0.85,0.12,MN
Wilkin,87.0,0.89,-0.28,MN
Winona,438.0,0.87,-0.03,MN
Wright,1998.0,0.9,-0.43,MN
Yellow Medicine,97.0,0.94,-0.93,MN
Adams,219.0,0.8,0.6,MS
Alcorn,398.0,0.88,-1.07,MS
Amite,,,0,MS
Attala,240.0,0.83,0.07,MS
Benton,115.0,0.78,1.14,MS
Bolivar,422.0,0.82,0.13,MS
Calhoun,184.0,0.88,-1,MS
Carroll,80.0,0.83,0.07,MS
Chickasaw,203.0,0.84,-0.3,MS
Choctaw,97.0,0.73,2.21,MS
Claiborne,94.0,0.88,-1,MS
Clarke,201.0,0.83,0.04,MS
Clay,198.0,0.88,-1,MS
Coahoma,304.0,0.74,1.94,MS
Copiah,295.0,0.79,0.8,MS
Covington,204.0,0.8,0.6,MS
DeSoto,2457.0,0.89,-1.32,MS
Forrest,763.0,0.8,0.7,MS
Franklin,102.0,0.83,0.07,MS
George,307.0,0.89,-1.32,MS
Greene,169.0,0.88,-1,MS
Grenada,262.0,0.83,0.07,MS
Hancock,442.0,0.83,0,MS
Harrison,2089.0,0.85,-0.52,MS
Hinds,2786.0,0.74,1.81,MS
Holmes,253.0,0.76,1.46,MS
Humphreys,119.0,0.83,0.07,MS
Issaquena,,,NR,MS
Itawamba,247.0,0.84,-0.25,MS
Jackson,1755.0,0.87,-0.99,MS
Jasper,197.0,0.83,-0.08,MS
Jefferson,94.0,0.88,-1,MS
Jefferson Davis,105.0,0.83,0.07,MS
Jones,804.0,0.85,-0.5,MS
Kemper,88.0,0.93,-2.07,MS
Lafayette,496.0,0.87,-0.89,MS
Lamar,721.0,0.92,-1.88,MS
Lauderdale,819.0,0.82,0.23,MS
Lawrence,156.0,0.83,0.07,MS
Leake,168.0,0.78,1.14,MS
Lee,1153.0,0.84,-0.25,MS
Leflore,345.0,0.75,1.67,MS
Lincoln,504.0,0.81,0.33,MS
Lowndes,814.0,0.88,-1.03,MS
Madison,1148.0,0.85,-0.38,MS
Marion,259.0,0.82,0.14,MS
Marshall,297.0,0.81,0.41,MS
Monroe,403.0,0.88,-1.02,MS
Montgomery,95.0,0.84,-0.25,MS
Neshoba,401.0,0.8,0.52,MS
Newton,292.0,0.84,-0.26,MS
Noxubee,144.0,0.73,2.21,MS
Oktibbeha,243.0,0.9,-1.54,MS
Panola,343.0,0.85,-0.52,MS
Pearl River,646.0,0.85,-0.51,MS
Perry,143.0,0.77,1.35,MS
Pike,512.0,0.8,0.53,MS
Pontotoc,385.0,0.82,0.25,MS
Prentiss,256.0,0.88,-1,MS
Quitman,86.0,0.83,0.07,MS
Rankin,1636.0,0.89,-1.37,MS
Scott,332.0,0.84,-0.25,MS
Sharkey,63.0,0.83,0.07,MS
Simpson,254.0,0.81,0.39,MS
Smith,182.0,0.88,-1,MS
Stone,169.0,0.88,-1,MS
Sunflower,257.0,0.77,1.25,MS
Tallahatchie,140.0,0.9,-1.43,MS
Tate,334.0,0.82,0.27,MS
Tippah,291.0,0.83,-0.02,MS
Tishomingo,264.0,0.84,-0.25,MS
Tunica,139.0,0.88,-1,MS
Union,353.0,0.83,0,MS
Walthall,144.0,0.78,1.14,MS
Warren,623.0,0.72,2.32,MS
Washington,536.0,0.77,1.22,MS
Wayne,236.0,0.79,0.82,MS
Webster,127.0,0.88,-1,MS
Wilkinson,79.0,0.78,1.14,MS
Winston,192.0,0.83,0.07,MS
Yalobusha,114.0,0.87,-0.83,MS
Yazoo,266.0,0.75,1.73,MS
Adair,240.0,0.91,0.36,MO
Andrew,215.0,0.95,-0.36,MO
Atchison,47.0,0.98,-0.96,MO
Audrain,212.0,0.87,1.26,MO
Barry,492.0,0.94,-0.13,MO
Barton,146.0,0.87,1.22,MO
Bates,166.0,0.93,0.06,MO
Benton,208.0,0.95,-0.43,MO
Bollinger,144.0,0.99,-1.11,MO
Boone,1608.0,0.91,0.39,MO
Buchanan,858.0,0.89,0.83,MO
Butler,497.0,0.93,0.02,MO
Caldwell,86.0,0.97,-0.69,MO
Callaway,391.0,0.9,0.71,MO
Camden,399.0,0.94,-0.13,MO
Cape Girardeau,711.0,0.9,0.56,MO
Carroll,126.0,1.0,-1.39,MO
Carter,92.0,0.95,-0.3,MO
Cass,1341.0,0.91,0.49,MO
Cedar,160.0,0.89,0.87,MO
Chariton,88.0,0.92,0.2,MO
Christian,1079.0,0.95,-0.44,MO
Clark,66.0,0.97,-0.78,MO
Clay,2995.0,0.96,-0.6,MO
Clinton,311.0,0.93,0.03,MO
Cole,1039.0,0.8,2.68,MO
Cooper,184.0,0.94,-0.19,MO
Crawford,213.0,0.92,0.12,MO
Dade,83.0,0.95,-0.42,MO
Dallas,117.0,0.95,-0.36,MO
Daviess,89.0,0.96,-0.49,MO
DeKalb,53.0,0.94,-0.26,MO
Dent,134.0,0.96,-0.64,MO
Douglas,88.0,0.92,0.2,MO
Dunklin,344.0,0.91,0.36,MO
Franklin,1159.0,0.88,0.94,MO
Gasconade,218.0,0.95,-0.47,MO
Gentry,72.0,1.0,-1.39,MO
Greene,2685.0,0.91,0.47,MO
Grundy,100.0,0.93,0.01,MO
Harrison,68.0,0.97,-0.8,MO
Henry,171.0,0.9,0.6,MO
Hickory,97.0,0.98,-0.98,MO
Holt,36.0,0.97,-0.83,MO
Howard,100.0,0.89,0.81,MO
Howell,334.0,0.95,-0.43,MO
Iron,123.0,1.0,-1.39,MO
Jackson,7212.0,0.89,0.89,MO
Jasper,1408.0,0.89,0.89,MO
Jefferson,2695.0,0.92,0.16,MO
Johnson,504.0,0.95,-0.4,MO
Knox,53.0,0.96,-0.63,MO
Laclede,411.0,0.96,-0.61,MO
Lafayette,399.0,0.94,-0.23,MO
Lawrence,414.0,0.91,0.5,MO
Lewis,106.0,0.96,-0.63,MO
Lincoln,699.0,0.95,-0.3,MO
Linn,166.0,0.93,-0.06,MO
Livingston,154.0,0.98,-1,MO
Macon,171.0,0.88,0.95,MO
Madison,164.0,0.93,0.08,MO
Maries,91.0,0.91,0.37,MO
Marion,363.0,0.96,-0.51,MO
McDonald,267.0,0.92,0.26,MO
Mercer,47.0,0.98,-0.96,MO
Miller,375.0,0.89,0.85,MO
Mississippi,121.0,0.98,-0.89,MO
Moniteau,169.0,0.95,-0.32,MO
Monroe,106.0,0.95,-0.44,MO
Montgomery,112.0,0.91,0.4,MO
Morgan,123.0,0.97,-0.74,MO
New Madrid,184.0,0.97,-0.85,MO
Newton,666.0,0.9,0.54,MO
Nodaway,222.0,0.98,-0.94,MO
Oregon,137.0,0.95,-0.37,MO
Osage,168.0,0.98,-0.91,MO
Ozark,96.0,0.96,-0.55,MO
Pemiscot,248.0,0.95,-0.42,MO
Perry,181.0,0.81,2.49,MO
Pettis,472.0,0.96,-0.54,MO
Phelps,489.0,0.92,0.25,MO
Pike,163.0,0.9,0.58,MO
Platte,1203.0,0.94,-0.24,MO
Polk,409.0,0.92,0.13,MO
Pulaski,597.0,0.93,-0.05,MO
Putnam,49.0,0.92,0.25,MO
Ralls,56.0,0.98,-1.03,MO
Randolph,273.0,0.88,1.03,MO
Ray,243.0,0.95,-0.32,MO
Reynolds,67.0,0.93,0.11,MO
Ripley,143.0,0.9,0.71,MO
Saline,229.0,0.9,0.71,MO
Schuyler,45.0,0.98,-0.94,MO
Scotland,43.0,0.98,-0.92,MO
Scott,442.0,0.94,-0.12,MO
Shannon,135.0,0.91,0.39,MO
Shelby,73.0,0.89,0.81,MO
St. Charles,4520.0,0.93,0.05,MO
St. Clair,91.0,0.96,-0.51,MO
St. Francois,683.0,0.94,-0.16,MO
St. Louis,10657.0,0.91,0.47,MO
St. Louis City,2921.0,0.56,7.44,MO
Ste. Genevieve,157.0,0.94,-0.24,MO
Stoddard,331.0,0.96,-0.54,MO
Stone,278.0,0.95,-0.38,MO
Sullivan,87.0,0.97,-0.7,MO
Taney,544.0,0.95,-0.47,MO
Texas,281.0,0.92,0.25,MO
Vernon,224.0,0.9,0.67,MO
Warren,350.0,0.91,0.39,MO
Washington,268.0,0.94,-0.27,MO
Wayne,112.0,0.91,0.4,MO
Webster,465.0,0.91,0.51,MO
Worth,25.0,0.96,-0.59,MO
Wright,228.0,0.98,-0.95,MO
Beaverhead,100.0,0.95,-0.82,MT
Big Horn,212.0,0.7,2.13,MT
Blaine,,0.83,0.65,MT
Broadwater,,0.83,0.61,MT
Carbon,,0.98,-1.2,MT
Carter,,1.0,NR,MT
Cascade,878.0,0.84,0.48,MT
Chouteau,,0.97,-1.06,MT
Custer,137.0,0.84,0.5,MT
Daniels,,1.0,-1.42,MT
Dawson,85.0,0.89,-0.15,MT
Deer Lodge,79.0,0.8,1.01,MT
Fallon,,0.95,-0.87,MT
Fergus,115.0,0.87,0.16,MT
Flathead,1080.0,0.87,0.16,MT
Gallatin,858.0,0.87,0.2,MT
Garfield,,1.0,-1.42,MT
Glacier,184.0,0.68,2.36,MT
Golden Valley,,0.89,NR,MT
Granite,,0.96,-0.98,MT
Hill,234.0,0.72,1.96,MT
Jefferson,,0.8,0.92,MT
Judith Basin,,1.0,NR,MT
Lake,322.0,0.89,-0.15,MT
Lewis and Clark,771.0,0.86,0.27,MT
Liberty,,0.92,NR,MT
Lincoln,203.0,0.91,-0.3,MT
Madison,,0.94,-0.74,MT
McCone,,0.96,-0.98,MT
Meagher,,0.95,-0.79,MT
Mineral,,0.86,0.29,MT
Missoula,1013.0,0.86,0.23,MT
Musselshell,,0.91,-0.29,MT
Park,145.0,0.93,-0.6,MT
Petroleum,,1.0,NR,MT
Phillips,,0.94,-0.67,MT
Pondera,,0.91,-0.35,MT
Powder River,,0.9,NR,MT
Powell,,0.94,-0.67,MT
Prairie,,0.71,2,MT
Ravalli,443.0,0.92,-0.45,MT
Richland,136.0,0.9,-0.28,MT
Roosevelt,173.0,0.73,1.84,MT
Rosebud,,0.74,1.7,MT
Sanders,,0.92,-0.51,MT
Sheridan,,1.0,-1.42,MT
Silver Bow,341.0,0.82,0.69,MT
Stillwater,,0.84,0.53,MT
Sweet Grass,,0.95,-0.88,MT
Teton,,0.99,-1.28,MT
Toole,,0.89,-0.12,MT
Treasure,,0.9,NR,MT
Valley,,0.87,0.15,MT
Wheatland,,0.95,-0.82,MT
Wibaux,,0.94,NR,MT
Yellowstone,1585.0,0.85,0.41,MT
Adams,372.0,0.91,0.31,NE
Antelope,77.0,0.96,-0.45,NE
Arthur,,,NR,NE
Banner,,,NR,NE
Blaine,,,NR,NE
Boone,85.0,0.99,-0.89,NE
Box Butte,134.0,0.89,0.67,NE
Boyd,20.0,1.0,-1.07,NE
Brown,42.0,0.98,-0.76,NE
Buffalo,573.0,0.94,-0.16,NE
Burt,105.0,0.92,0.11,NE
Butler,90.0,0.92,0.12,NE
Cass,293.0,0.92,0.23,NE
Cedar,91.0,0.95,-0.23,NE
Chase,52.0,0.94,-0.14,NE
Cherry,60.0,0.97,-0.57,NE
Cheyenne,125.0,0.97,-0.62,NE
Clay,85.0,0.93,0.02,NE
Colfax,164.0,0.88,0.78,NE
Cuming,121.0,0.98,-0.82,NE
Custer,135.0,0.95,-0.3,NE
Dakota,312.0,0.89,0.6,NE
Dawes,170.0,0.52,3,NE
Dawson,361.0,0.93,-0.02,NE
Deuel,36.0,0.92,0.2,NE
Dixon,52.0,0.96,-0.45,NE
Dodge,454.0,0.89,0.7,NE
Douglas,5998.0,0.86,1.06,NE
Dundy,23.0,0.87,NR,NE
Fillmore,74.0,0.81,1.84,NE
Franklin,25.0,0.84,1.4,NE
Frontier,39.0,0.97,-0.68,NE
Furnas,78.0,0.95,-0.24,NE
Gage,241.0,0.92,0.17,NE
Garden,18.0,1.0,-1.07,NE
Garfield,31.0,0.97,-0.61,NE
Gosper,18.0,0.83,1.55,NE
Grant,10.0,1.0,NR,NE
Greeley,29.0,0.97,-0.61,NE
Hall,856.0,0.9,0.47,NE
Hamilton,125.0,0.98,-0.72,NE
Harlan,20.0,1.0,-1.07,NE
Hayes,,,NR,NE
Hitchcock,11.0,1.0,-1.07,NE
Holt,100.0,0.96,-0.46,NE
Hooker,16.0,1.0,NR,NE
Howard,75.0,1.0,-1.07,NE
Jefferson,107.0,0.93,-0.06,NE
Johnson,65.0,0.86,1.1,NE
Kearney,108.0,0.96,-0.5,NE
Keith,86.0,0.92,0.17,NE
Keya Paha,,,NR,NE
Kimball,40.0,0.98,-0.76,NE
Knox,110.0,0.94,-0.21,NE
Lancaster,2953.0,0.85,1.3,NE
Lincoln,408.0,0.9,0.44,NE
Logan,16.0,1.0,NR,NE
Loup,,,NR,NE
Madison,428.0,0.92,0.16,NE
McPherson,,,NR,NE
Merrick,73.0,0.89,0.67,NE
Morrill,65.0,0.94,-0.07,NE
Nance,71.0,0.99,-0.89,NE
Nemaha,79.0,0.92,0.14,NE
Nuckolls,49.0,0.92,0.23,NE
Otoe,201.0,0.92,0.11,NE
Pawnee,41.0,0.9,0.46,NE
Perkins,28.0,1.0,-1.07,NE
Phelps,130.0,0.93,-0.01,NE
Pierce,101.0,0.98,-0.74,NE
Platte,397.0,0.87,0.92,NE
Polk,90.0,0.95,-0.25,NE
Red Willow,123.0,0.98,-0.81,NE
Richardson,87.0,0.89,0.67,NE
Rock,14.0,1.0,-1.07,NE
Saline,188.0,0.95,-0.23,NE
Sarpy,2307.0,0.91,0.25,NE
Saunders,190.0,0.94,-0.19,NE
Scotts Bluff,410.0,0.9,0.41,NE
Seward,216.0,0.95,-0.31,NE
Sheridan,47.0,0.94,-0.1,NE
Sherman,20.0,0.95,-0.3,NE
Sioux,,,NR,NE
Stanton,37.0,1.0,-1.07,NE
Thayer,62.0,0.95,-0.28,NE
Thomas,10.0,1.0,NR,NE
Thurston,133.0,0.85,1.28,NE
Valley,53.0,0.98,-0.73,NE
Washington,269.0,0.95,-0.32,NE
Wayne,102.0,0.92,0.15,NE
Webster,43.0,0.97,-0.67,NE
Wheeler,,,NR,NE
York,158.0,0.95,-0.34,NE
Carson City,2136.0,0.71,1.62,NV
Churchill,273.0,0.73,1.33,NV
Clark,24197.0,0.83,0.12,NV
Douglas,497.0,0.88,-0.4,NV
Elko,721.0,0.88,-0.52,NV
Esmeralda,,,NR,NV
Eureka,18.0,1.0,NR,NV
Humboldt,238.0,0.89,-0.64,NV
Lander,65.0,0.92,-0.99,NV
Lincoln,79.0,0.86,-0.23,NV
Lyon,591.0,0.84,0.08,NV
Mineral,32.0,0.84,-0.02,NV
Nye,435.0,0.79,0.6,NV
Pershing,42.0,1.0,-1.92,NV
Storey,32.0,0.91,-0.78,NV
Washoe,4681.0,0.84,0.02,NV
White Pine,133.0,0.7,1.74,NV
Belknap,692.0,0.88,0.42,NH
Carroll,413.0,0.94,-1.12,NH
Cheshire,578.0,0.89,0.06,NH
Coos,314.0,0.92,-0.75,NH
Grafton,863.0,0.95,-1.36,NH
Hillsborough,4801.0,0.88,0.47,NH
Merrimack,1298.0,0.88,0.47,NH
Rockingham,3456.0,0.93,-0.93,NH
Strafford,1073.0,0.86,1.15,NH
Sullivan,387.0,0.84,1.59,NH
Atlantic,3422.0,0.9,0.16,NJ
Bergen,10446.0,0.95,-1.11,NJ
Burlington,5549.0,0.93,-0.68,NJ
Camden,6118.0,0.88,0.8,NJ
Cape May,998.0,0.88,0.77,NJ
Cumberland,1863.0,0.81,2.44,NJ
Essex,8614.0,0.87,0.96,NJ
Gloucester,3808.0,0.93,-0.68,NJ
Hudson,5800.0,0.85,1.39,NJ
Hunterdon,1791.0,0.96,-1.48,NJ
Mercer,4669.0,0.9,0.26,NJ
Middlesex,9470.0,0.9,0.06,NJ
Monmouth,8081.0,0.94,-0.84,NJ
Morris,6385.0,0.95,-1.05,NJ
Ocean,5625.0,0.91,-0.05,NJ
Passaic,5997.0,0.9,0.28,NJ
Salem,851.0,0.87,0.87,NJ
Somerset,4395.0,0.94,-0.93,NJ
Sussex,1890.0,0.95,-1.07,NJ
Union,6901.0,0.88,0.59,NJ
Warren,1406.0,0.93,-0.7,NJ
Bernalillo,7396.0,0.68,1.25,NM
Catron,,0.85,-1.17,NM
Chaves,872.0,0.67,1.39,NM
Cibola,337.0,0.68,1.2,NM
Colfax,,0.81,-0.56,NM
Curry,640.0,0.78,-0.15,NM
De Baca,,0.88,-1.56,NM
Dona Ana,2949.0,0.83,-0.8,NM
Eddy,798.0,0.75,0.19,NM
Grant,302.0,0.86,-1.23,NM
Guadalupe,,0.87,-1.38,NM
Harding,,,NR,NM
Hidalgo,,0.86,-1.31,NM
Lea,1057.0,0.86,-1.21,NM
Lincoln,238.0,0.82,-0.78,NM
Los Alamos,297.0,0.87,-1.35,NM
Luna,371.0,0.68,1.21,NM
McKinley,1261.0,0.66,1.46,NM
Mora,,0.73,0.51,NM
Otero,626.0,0.75,0.18,NM
Quay,132.0,0.7,0.89,NM
Rio Arriba,385.0,0.73,0.56,NM
Roosevelt,259.0,0.81,-0.58,NM
San Juan,2024.0,0.67,1.41,NM
San Miguel,284.0,0.73,0.49,NM
Sandoval,1525.0,0.77,-0.07,NM
Santa Fe,1192.0,0.68,1.2,NM
Sierra,92.0,0.85,-1.17,NM
Socorro,186.0,0.69,1.09,NM
Taos,300.0,0.73,0.53,NM
Torrance,279.0,0.79,-0.3,NM
Union,,0.79,-0.33,NM
Valencia,978.0,0.74,0.4,NM
Albany,3014.0,0.84,0.09,NY
Allegany,502.0,0.88,-0.57,NY
Bronx,14750.0,0.68,3.32,NY
Broome,2205.0,0.83,0.37,NY
Cattaraugus,1041.0,0.85,-0.02,NY
Cayuga,762.0,0.83,0.35,NY
Chautauqua,1521.0,0.83,0.27,NY
Chemung,904.0,0.76,1.74,NY
Chenango,584.0,0.85,-0.07,NY
Clinton,866.0,0.87,-0.42,NY
Columbia,583.0,0.83,0.39,NY
Cortland,519.0,0.88,-0.57,NY
Delaware,460.0,0.87,-0.48,NY
Dutchess,3404.0,0.86,-0.15,NY
Erie,9873.0,0.84,0.16,NY
Essex,292.0,0.91,-1.19,NY
Franklin,574.0,0.86,-0.22,NY
Fulton,629.0,0.78,1.31,NY
Genesee,671.0,0.91,-1.24,NY
Greene,455.0,0.87,-0.41,NY
Hamilton,26.0,0.96,-2.15,NY
Herkimer,735.0,0.85,-0.03,NY
Jefferson,1235.0,0.86,-0.16,NY
Kings,21688.0,0.74,1.99,NY
Lewis,300.0,0.92,-1.3,NY
Livingston,653.0,0.89,-0.84,NY
Madison,790.0,0.86,-0.15,NY
Monroe,8449.0,0.83,0.36,NY
Montgomery,609.0,0.76,1.69,NY
Nassau,16554.0,0.91,-1.12,NY
New York,16235.0,0.75,1.98,NY
Niagara,2431.0,0.85,0.01,NY
Oneida,2685.0,0.84,0.22,NY
Onondaga,5617.0,0.84,0.15,NY
Ontario,1264.0,0.9,-0.95,NY
Orange,4981.0,0.87,-0.4,NY
Orleans,468.0,0.89,-0.85,NY
Oswego,1586.0,0.84,0.16,NY
Otsego,587.0,0.86,-0.28,NY
Putnam,1253.0,0.93,-1.55,NY
Queens,19467.0,0.78,1.34,NY
Rensselaer,1636.0,0.86,-0.31,NY
Richmond,4707.0,0.8,0.99,NY
Rockland,3248.0,0.85,0.07,NY
Saratoga,2742.0,0.91,-1.15,NY
Schenectady,1764.0,0.78,1.35,NY
Schoharie,339.0,0.83,0.38,NY
Schuyler,126.0,0.9,-0.92,NY
Seneca,351.0,0.83,0.43,NY
St. Lawrence,1037.0,0.85,0.02,NY
Steuben,1236.0,0.86,-0.31,NY
Suffolk,20346.0,0.9,-0.89,NY
Sullivan,742.0,0.78,1.23,NY
Tioga,612.0,0.87,-0.39,NY
Tompkins,892.0,0.83,0.41,NY
Ulster,1842.0,0.86,-0.25,NY
Warren,753.0,0.88,-0.68,NY
Washington,690.0,0.8,1.02,NY
Wayne,1164.0,0.87,-0.44,NY
Westchester,11163.0,0.9,-0.89,NY
Wyoming,339.0,0.94,-1.7,NY
Yates,214.0,0.79,1.22,NY
Alamance,1945.0,0.81,0.91,NC
Alexander,403.0,0.85,0.19,NC
Alleghany,100.0,0.92,-1.13,NC
Anson,282.0,0.84,0.46,NC
Ashe,220.0,0.87,-0.13,NC
Avery,166.0,0.94,-1.51,NC
Beaufort,585.0,0.83,0.61,NC
Bertie,201.0,0.84,0.38,NC
Bladen,390.0,0.9,-0.65,NC
Brunswick,1104.0,0.84,0.34,NC
Buncombe,2312.0,0.88,-0.37,NC
Burke,1112.0,0.89,-0.46,NC
Cabarrus,3034.0,0.89,-0.52,NC
Caldwell,1044.0,0.89,-0.46,NC
Camden,145.0,0.83,0.51,NC
Carteret,717.0,0.85,0.17,NC
Caswell,210.0,0.84,0.34,NC
Catawba,1946.0,0.92,-1.05,NC
Chatham,703.0,0.86,0.04,NC
Cherokee,303.0,0.92,-1.2,NC
Chowan,157.0,0.89,-0.59,NC
Clay,102.0,0.86,-0.04,NC
Cleveland,1213.0,0.88,-0.36,NC
Columbus,676.0,0.84,0.39,NC
Craven,1069.0,0.86,-0.02,NC
Cumberland,4073.0,0.82,0.78,NC
Currituck,315.0,0.87,-0.12,NC
Dare,372.0,0.91,-1.01,NC
Davidson,2017.0,0.87,-0.19,NC
Davie,498.0,0.87,-0.23,NC
Duplin,723.0,0.81,0.91,NC
Durham,2878.0,0.82,0.88,NC
Edgecombe,490.0,0.77,1.68,NC
Forsyth,4572.0,0.84,0.32,NC
Franklin,663.0,0.86,0.02,NC
Gaston,2567.0,0.86,0.09,NC
Gates,129.0,0.93,-1.32,NC
Graham,103.0,0.85,0.13,NC
Granville,657.0,0.81,0.91,NC
Greene,253.0,0.95,-1.68,NC
Guilford,6055.0,0.89,-0.63,NC
Halifax,558.0,0.75,2.02,NC
Harnett,1549.0,0.86,-0.02,NC
Haywood,586.0,0.85,0.15,NC
Henderson,1064.0,0.91,-1.01,NC
Hertford,235.0,0.86,0.11,NC
Hoke,624.0,0.82,0.84,NC
Hyde,33.0,0.91,-0.92,NC
Iredell,2337.0,0.89,-0.61,NC
Jackson,314.0,0.92,-1.13,NC
Johnston,2668.0,0.92,-1.09,NC
Jones,92.0,0.98,-2.17,NC
Lee,793.0,0.89,-0.55,NC
Lenoir,636.0,0.85,0.28,NC
Lincoln,998.0,0.9,-0.73,NC
Macon,330.0,0.91,-0.97,NC
Madison,209.0,0.87,-0.1,NC
Martin,259.0,0.7,3.16,NC
McDowell,514.0,0.85,0.17,NC
Mecklenburg,11064.0,0.85,0.19,NC
Mitchell,166.0,0.85,0.23,NC
Montgomery,309.0,0.9,-0.67,NC
Moore,1112.0,0.89,-0.63,NC
Nash,1298.0,0.83,0.63,NC
New Hanover,2238.0,0.86,0.02,NC
Northampton,145.0,0.63,3,NC
Onslow,1866.0,0.89,-0.54,NC
Orange,1541.0,0.88,-0.44,NC
Pamlico,119.0,0.87,-0.25,NC
Pasquotank,440.0,0.83,0.65,NC
Pender,723.0,0.9,-0.65,NC
Perquimans,129.0,0.9,-0.73,NC
Person,347.0,0.87,-0.23,NC
Pitt,1826.0,0.85,0.27,NC
Polk,187.0,0.92,-1.13,NC
Randolph,1709.0,0.9,-0.77,NC
Richmond,559.0,0.81,0.97,NC
Robeson,1840.0,0.86,0,NC
Rockingham,1051.0,0.86,0.08,NC
Rowan,1610.0,0.85,0.3,NC
Rutherford,703.0,0.84,0.38,NC
Sampson,933.0,0.83,0.5,NC
Scotland,473.0,0.87,-0.19,NC
Stanly,595.0,0.89,-0.5,NC
Stokes,528.0,0.83,0.53,NC
Surry,914.0,0.91,-1,NC
Swain,145.0,0.79,1.3,NC
Transylvania,300.0,0.86,0.08,NC
Tyrrell,47.0,0.89,-0.63,NC
Union,3445.0,0.93,-1.24,NC
Vance,536.0,0.82,0.76,NC
Wake,12209.0,0.89,-0.57,NC
Warren,181.0,0.71,2.82,NC
Washington,131.0,0.73,2.59,NC
Watauga,366.0,0.9,-0.67,NC
Wayne,1520.0,0.83,0.69,NC
Wilkes,828.0,0.88,-0.34,NC
Wilson,994.0,0.79,1.45,NC
Yadkin,452.0,0.88,-0.29,NC
Yancey,200.0,0.92,-1.13,NC
Adams,,,0,ND
Barnes,91.0,0.88,-0.9,ND
Benson,,,0,ND
Billings,,,NR,ND
Bottineau,,,0,ND
Bowman,,,0,ND
Burke,,,0,ND
Burleigh,898.0,0.88,-0.83,ND
Cass,1613.0,0.86,-0.37,ND
Cavalier,,,0,ND
Dickey,,,0,ND
Divide,,,0,ND
Dunn,,,0,ND
Eddy,,,0,ND
Emmons,,,0,ND
Foster,,,0,ND
Golden Valley,,,0,ND
Grand Forks,692.0,0.86,-0.3,ND
Grant,,,0,ND
Griggs,,,0,ND
Hettinger,,,0,ND
Kidder,,,0,ND
LaMoure,,,0,ND
Logan,,,0,ND
McHenry,,,0,ND
McIntosh,,,0,ND
McKenzie,114.0,0.82,0.56,ND
McLean,,,0,ND
Mercer,,,0,ND
Morton,363.0,0.82,0.47,ND
Mountrail,,,0,ND
Nelson,,,0,ND
Oliver,,,NR,ND
Pembina,,,0,ND
Pierce,,,0,ND
Ramsey,126.0,0.88,-0.74,ND
Ransom,,,0,ND
Renville,,,0,ND
Richland,173.0,0.8,0.96,ND
Rolette,328.0,0.74,2.5,ND
Sargent,,,0,ND
Sheridan,,,NR,ND
Sioux,,,0,ND
Slope,,,NR,ND
Stark,304.0,0.87,-0.58,ND
Steele,,,0,ND
Stutsman,207.0,0.86,-0.5,ND
Towner,,,0,ND
Traill,,,0,ND
Walsh,,,0,ND
Ward,622.0,0.88,-0.97,ND
Wells,,,0,ND
Williams,343.0,0.81,0.7,ND
Adams,360.0,0.92,0.04,OH
Allen,1241.0,0.85,2.27,OH
Ashland,505.0,0.94,-0.52,OH
Ashtabula,1082.0,0.88,1.34,OH
Athens,538.0,0.92,0.16,OH
Auglaize,562.0,0.97,-1.42,OH
Belmont,685.0,0.89,0.88,OH
Brown,578.0,0.94,-0.38,OH
Butler,4200.0,0.9,0.58,OH
Carroll,240.0,0.91,0.34,OH
Champaign,525.0,0.91,0.34,OH
Clark,1616.0,0.88,1.47,OH
Clermont,2083.0,0.94,-0.4,OH
Clinton,591.0,0.88,1.23,OH
Columbiana,1043.0,0.93,-0.32,OH
Coshocton,393.0,0.93,-0.32,OH
Crawford,484.0,0.94,-0.57,OH
Cuyahoga,11452.0,0.86,1.83,OH
Darke,658.0,0.97,-1.32,OH
Defiance,497.0,0.97,-1.29,OH
Delaware,2122.0,0.96,-1.2,OH
Erie,869.0,0.94,-0.51,OH
Fairfield,1912.0,0.94,-0.63,OH
Fayette,337.0,0.91,0.29,OH
Franklin,11938.0,0.89,1.16,OH
Fulton,618.0,0.93,-0.21,OH
Gallia,339.0,0.86,2.08,OH
Geauga,906.0,0.96,-1.16,OH
Greene,1661.0,0.92,-0.02,OH
Guernsey,382.0,0.87,1.75,OH
