county_name,crime_rate_per_100000,IDNO,CPOPARST,CPOPCRIM,AG_ARRST,AG_OFF,COVIND,INDEX,MODINDX,MURDER,RAPE,ROBBERY,AGASSLT,BURGLRY,LARCENY,MVTHEFT,ARSON,population,FIPS_ST,FIPS_CTY,State
Valley ,157.2739187,1665,7539,7539,2,2,100.0,12,66,0,4,0,8,9,47,10,0,7630,30,105,MT
Washington ,157.11824950000002,2266,543399,544247,14,15,100.0,872,10390,10,163,219,480,1652,8171,567,82,554996,41,67,OR
Chippewa ,157.1156868,1338,11549,12398,2,3,100.0,19,139,1,1,0,17,12,125,2,2,12093,27,23,MN
Borden ,156.9858713,2567,635,635,1,1,100.0,1,6,0,0,0,1,3,2,1,0,637,48,33,TX
Ferry ,156.94480769999998,2996,7764,7764,2,2,98.815,12,50,0,1,0,11,15,33,1,1,7646,53,19,WA
Lincoln ,156.88188540000002,3116,28675,28675,3,3,100.0,45,533,0,6,0,39,170,345,18,5,28684,55,69,WI
Chelan ,156.826693,2990,74198,74198,2,2,100.0,116,2020,1,16,17,82,466,1473,81,3,73967,53,7,WA
Madison ,156.8236091,490,28216,27089,3,3,100.0,44,751,0,3,7,34,193,512,46,6,28057,13,195,GA
Foard ,156.61707130000002,2628,1361,1361,2,2,100.0,2,1,0,0,0,2,1,0,0,0,1277,48,155,TX
Bleckley ,156.60480780000003,405,13432,13432,3,3,100.0,20,371,0,4,5,11,105,260,6,1,12771,13,23,GA
Mifflin ,156.5985928,2313,46934,46934,8,7,100.0,73,995,0,10,4,59,138,835,22,3,46616,42,87,PA
Long ,156.400385,484,15298,15298,2,2,100.0,26,303,1,12,3,10,154,130,19,1,16624,13,183,GA
Iron ,156.30427230000004,1278,11805,11805,4,4,100.0,18,206,0,6,0,12,65,119,22,0,11516,26,71,MI
Fayette ,156.25,2090,28983,28983,2,2,100.0,45,1238,0,6,16,23,365,843,30,5,28800,39,47,OH
