Howard,,206,97%,-1.68,AR
Independence,,301,88%,0.33,AR
Izard,,135,97%,-1.67,AR
Jackson,,125,89%,0.16,AR
Jefferson,,843,81%,1.81,AR
Johnson,,316,91%,-0.43,AR
Lafayette,,85,93%,-0.76,AR
Lawrence,,239,89%,0.18,AR
Lee,,76,80%,2.06,AR
Lincoln,,113,95%,-1.15,AR
Little River,,127,85%,1,AR
Logan,,347,92%,-0.54,AR
Lonoke,,"1,026",91%,-0.25,AR
Madison,,215,88%,0.36,AR
Marion,,119,92%,-0.65,AR
Miller,,500,87%,0.47,AR
Mississippi,,574,87%,0.65,AR
Monroe,,100,90%,-0.11,AR
Montgomery,,87,93%,-0.8,AR
Nevada,,99,93%,-0.76,AR
Newton,,59,80%,2.19,AR
Ouachita,,274,91%,-0.3,AR
Perry,,133,91%,-0.32,AR
Phillips,,280,86%,0.77,AR
Pike,,172,87%,0.51,AR
Poinsett,,302,82%,1.65,AR
Polk,,209,90%,-0.2,AR
Pope,,741,91%,-0.41,AR
Prairie,,95,88%,0.24,AR
Pulaski,,"3,774",80%,2.03,AR
Randolph,,174,93%,-0.8,AR
Saline,,"1,230",93%,-0.8,AR
Scott,,185,86%,0.67,AR
Searcy,,74,97%,-1.73,AR
Sebastian,,"1,479",88%,0.38,AR
Sevier,,219,92%,-0.61,AR
Sharp,,132,98%,-1.83,AR
St. Francis,,264,81%,1.88,AR
Stone,,118,95%,-1.2,AR
Union,,582,88%,0.27,AR
Van Buren,,183,93%,-0.87,AR
Washington,,"3,083",87%,0.48,AR
White,,947,86%,0.72,AR
Woodruff,,69,90%,-0.08,AR
Yell,,292,87%,0.49,AR
Alameda,,"17,496",87%,-0.4,CA
Alpine,,,,0,CA
Amador,,356,88%,-0.56,CA
Butte,,"2,441",85%,-0.19,CA
Calaveras,,478,90%,-0.68,CA
Colusa,,366,89%,-0.64,CA
Contra Costa,,"14,286",88%,-0.5,CA
Del Norte,,368,81%,0.14,CA
El Dorado,,"2,172",89%,-0.64,CA
Fresno,,"15,186",81%,0.09,CA
Glenn,,448,82%,0.08,CA
Humboldt,,"1,329",84%,-0.12,CA
Imperial,,"2,989",85%,-0.26,CA
Inyo,(Click for info),873,40%,3,CA
Kern,,"14,016",86%,-0.31,CA
Kings,,"2,230",80%,0.19,CA
Lake,,743,78%,0.41,CA
Lassen,,314,86%,-0.35,CA
Los Angeles,,"122,987",82%,0.09,CA
Madera,,"2,215",83%,-0.06,CA
Marin,,"2,539",87%,-0.43,CA
Mariposa,,113,86%,-0.31,CA
Mendocino,,"1,045",84%,-0.1,CA
Merced,,"4,506",88%,-0.56,CA
Modoc,,106,86%,-0.31,CA
Mono,(Click for info),292,36%,3,CA
Monterey,,"5,427",85%,-0.2,CA
Napa,,"1,686",87%,-0.41,CA
Nevada,,"1,663",50%,3.03,CA
Orange,,"41,787",89%,-0.62,CA
Placer,,"5,848",90%,-0.74,CA
Plumas,,166,81%,0.17,CA
Riverside,,"33,664",89%,-0.59,CA
Sacramento,,"19,055",81%,0.14,CA
San Benito,,851,90%,-0.72,CA
San Bernardino,,"32,250",83%,-0.08,CA
San Diego,,"41,064",81%,0.13,CA
San Francisco,,"5,478",71%,1.04,CA
San Joaquin,,"11,881",82%,0.07,CA
San Luis Obispo,,"2,946",92%,-0.84,CA
San Mateo,,"7,400",88%,-0.49,CA
Santa Barbara,,"5,395",87%,-0.46,CA
Santa Clara,,"21,652",85%,-0.25,CA
Santa Cruz,,"3,199",82%,0.08,CA
Shasta,,"2,075",87%,-0.41,CA
Sierra,,26,100%,-1.63,CA
Siskiyou,,433,80%,0.26,CA
Solano,,"5,106",81%,0.11,CA
Sonoma,,"5,609",81%,0.15,CA
Stanislaus,,"8,450",84%,-0.13,CA
Sutter,,"1,737",83%,-0.06,CA
Tehama,,760,88%,-0.49,CA
Trinity,,156,74%,0.76,CA
Tulare,,"7,601",86%,-0.34,CA
Tuolumne,,573,86%,-0.3,CA
Ventura,,"11,121",86%,-0.33,CA
Yolo,,"2,428",87%,-0.41,CA
Yuba,,989,75%,0.7,CA
Adams,,"5,851",75%,1.03,CO
Alamosa,,158,77%,0.79,CO
Arapahoe,,"8,480",81%,0.35,CO
Archuleta,,76,84%,-0.03,CO
Baca,,34,88%,-0.49,CO
Bent,,184,70%,1.61,CO
Boulder,,"4,372",88%,-0.44,CO
Broomfield,,,,0,CO
Chaffee,,167,81%,0.3,CO
Cheyenne,,27,89%,NR,CO
Clear Creek,,58,81%,0.34,CO
Conejos,,111,89%,-0.61,CO
Costilla,,26,92%,-0.97,CO
Crowley,,29,83%,0.14,CO
Custer,,23,87%,-0.35,CO
Delta,,375,88%,-0.47,CO
Denver,,"5,633",67%,2.03,CO
Dolores,,11,82%,0.25,CO
Douglas,,"4,568",90%,-0.75,CO
Eagle,,496,71%,1.54,CO
El Paso,,"9,427",76%,0.89,CO
Elbert,,260,86%,-0.25,CO
Fremont,,363,79%,0.64,CO
Garfield,,794,85%,-0.13,CO
Gilpin,,23,87%,-0.35,CO
Grand,,125,90%,-0.75,CO
Gunnison,,123,95%,-1.3,CO
Hinsdale,,12,75%,NR,CO
Huerfano,,51,86%,-0.27,CO
Jackson,,13,100%,-1.86,CO
Jefferson,,"6,378",83%,0.06,CO
Kiowa,,21,95%,-1.31,CO
Kit Carson,,114,82%,0.18,CO
La Plata,,466,83%,0.08,CO
Lake,(Click for info),75,55%,3,CO
Larimer,,"3,416",79%,0.55,CO
Las Animas,,153,86%,-0.19,CO
Lincoln,,41,78%,0.69,CO
Logan,,214,87%,-0.4,CO
Mesa,,"1,733",76%,0.93,CO
Mineral,,4,100%,NR,CO
Moffat,,118,81%,0.31,CO
Montezuma,,269,74%,1.12,CO
Montrose,,493,81%,0.35,CO
Morgan,,410,84%,-0.02,CO
Otero,,213,91%,-0.77,CO
Ouray,,30,93%,-1.09,CO
Park,,96,88%,-0.41,CO
Phillips,,69,93%,-1.02,CO
Pitkin,,139,93%,-1.03,CO
Prowers,,140,83%,0.13,CO
Pueblo,,"1,714",81%,0.34,CO
Rio Blanco,,80,98%,-1.57,CO
Rio Grande,,166,85%,-0.11,CO
Routt,,232,94%,-1.21,CO
Saguache,,81,80%,0.43,CO
San Juan,,4,50%,NR,CO
San Miguel,,92,97%,-1.48,CO
Sedgwick,,93,62%,2.51,CO
Summit,,221,95%,-1.28,CO
Teller,,234,76%,0.87,CO
Washington,,66,92%,-0.98,CO
Weld,,"2,772",82%,0.22,CO
Yuma,,100,86%,-0.23,CO
Fairfield,,"10,902",89%,-0.19,CT
Hartford,,"10,762",86%,0.82,CT
Litchfield,,"1,854",90%,-0.45,CT
Middlesex,,"3,980",95%,-1.53,CT
New Haven,,"9,277",83%,1.37,CT
New London,,"2,979",89%,-0.08,CT
Tolland,,"1,640",92%,-0.93,CT
Windham,,"1,117",85%,1,CT
Kent,,"1,920",90%,-1.08,DE
New Castle,,"5,852",88%,0.89,DE
Sussex,,"2,297",89%,0.19,DE
Alachua,,"2,129",84%,-0.37,FL
Baker,,329,81%,-0.02,FL
Bay,,"1,765",79%,0.28,FL
Bradford,,226,81%,0.1,FL
Brevard,,"5,556",86%,-0.61,FL
Broward,,"19,649",81%,0,FL
Calhoun,,156,81%,-0.02,FL
Charlotte,,"1,158",90%,-1.04,FL
Citrus,,"1,125",80%,0.21,FL
Clay,,"3,022",88%,-0.89,FL
Collier,,"3,382",89%,-0.91,FL
Columbia,,731,71%,1.34,FL
DeSoto,,310,65%,2.06,FL
Dixie,,114,89%,-1.03,FL
Duval,,"8,580",80%,0.19,FL
Escambia,,"2,789",80%,0.18,FL
Flagler,,"1,005",81%,0.02,FL
Franklin,,62,79%,0.28,FL
Gadsden,,312,53%,3.6,FL
Gilchrist,,167,93%,-1.52,FL
Glades,,52,85%,-0.42,FL
Gulf,,157,85%,-0.43,FL
Hamilton,,95,68%,1.61,FL
Hardee,,345,73%,1.07,FL
Hendry,,488,86%,-0.57,FL
Hernando,,"1,649",87%,-0.66,FL
Highlands,,907,73%,1.06,FL
Hillsborough,,"14,744",83%,-0.25,FL
Holmes,,255,70%,1.44,FL
Indian River,,"1,230",88%,-0.8,FL
Jackson,,480,73%,1.08,FL
Jefferson,(Click for info),43,56%,3,FL
Lafayette,,85,88%,-0.87,FL
Lake,,"3,103",78%,0.42,FL
Lee,,"6,431",79%,0.28,FL
Leon,,"2,388",90%,-1.1,FL
Levy,,311,79%,0.23,FL
Liberty,,75,91%,-1.18,FL
Madison,,149,81%,0.09,FL
Manatee,,"3,137",82%,-0.1,FL
Marion,,"3,184",77%,0.49,FL
Martin,,"1,607",84%,-0.33,FL
Miami-Dade,,"27,039",81%,0.06,FL
Monroe,,600,80%,0.16,FL
Nassau,,959,91%,-1.23,FL
Okaloosa,,"2,144",87%,-0.69,FL
Okeechobee,,454,72%,1.16,FL
Orange,,"14,864",84%,-0.4,FL
Osceola,,"4,476",87%,-0.67,FL
