RegionName,State,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09
Washington ,OH,132200.0,137000.0,139900.0,137500.0,138000.0,139900.0,145000.0,149000.0,148000.0,145500.0,139900.0,137400.0,131400.0,142000.0,145000.0,139950.0,139900.0,140500.0,140000.0,137900.0,143000.0,137000.0,143950.0,134900.0,135000.0,134900.0,140000.0,149900.0,149950.0,149900.0,149000.0,157000.0,152500.0,152000.0,152750.0,145000.0,144450.0,133000.0,129900.0,144950.0,149000.0,149950.0,150000.0,147500.0,143000.0,139000.0,136250.0,137500.0,142000.0,145900.0,145000.0,149000.0,159000.0,149000.0,149000.0,149950.0,149900.0,149700.0,149950.0,149900.0,149700.0,149800.0,153750.0,168750.0,168500.0,168250.0,163250.0,159000.0,159000.0,161250.0,165000.0,165000.0,159339.0,159000.0,158750.0,158250.0,154900.0,155000.0,154450.0,150000.0,149900.0,150000.0,154950.0,155000.0,163000.0,163000.0,160950.0,162000.0,166450.0,165000.0,155000.0,150000.0,152450.0,154900.0,149900.0,149700.0,151250.0,150000.0,150000.0,149900.0,167900.0,162250.0,168600.0,159000.0,156900.0,154900.0,159950.0,155000.0,155000.0,149900.0,159999.0,164900.0,164900.0,166950.0,176500.0,170000.0,175000.0
Clinton ,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134500.0,120500.0,142000.0,134000.0,132450.0,127500.0,142000.0,142000.0,141000.0,139950.0,143450.0,137900.0,148900.0,148900.0,148900.0,145000.0,138250.0,139500.0,135000.0,138900.0,139900.0,139900.0,149500.0,134900.0,143450.0,142000.0,139500.0,139500.0,146500.0,150000.0,154900.0
Wyandot ,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129000.0,135000.0,135000.0,133700.0,129900.0,128500.0,127999.0,128500.0,109900.0,114500.0,115000.0,112000.0,115000.0,124900.0,127400.0,124900.0,126000.0,125000.0,135800.0,139000.0,144000.0
Logan ,OH,118950.0,119900.0,124900.0,123900.0,122900.0,119900.0,121900.0,120950.0,122900.0,119900.0,119900.0,117900.0,114900.0,115000.0,114900.0,115000.0,124900.0,129187.5,128400.0,129900.0,129900.0,129900.0,129900.0,129500.0,125000.0,126450.0,125000.0,125000.0,125000.0,124900.0,124900.0,120000.0,122500.0,119900.0,115900.0,110000.0,109000.0,104900.0,109900.0,113400.0,124900.0,124900.0,126450.0,123900.0,124450.0,129900.0,124950.0,125000.0,125000.0,123900.0,123900.0,125900.0,129900.0,129000.0,129900.0,127000.0,129900.0,129900.0,128000.0,125000.0,121900.0,119900.0,119900.0,124900.0,128500.0,129900.0,134900.0,134900.0,134900.0,128750.0,128200.0,125000.0,124800.0,122900.0,125000.0,129500.0,134900.0,139900.0,139900.0,139900.0,134900.0,141900.0,139900.0,135000.0,129450.0,134900.0,139900.0,137700.0,139900.0,149900.0,146900.0,139949.5,139410.0,139900.0,139000.0,139450.0,133900.0,139450.0,146900.0,159900.0,149900.0,159900.0,154500.0,149900.0,139900.0,141400.0,139900.0,149900.0,149900.0,152950.0,149900.0,159900.0,149900.0,149900.0,154900.0,154900.0,156250.0
Henry ,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119900.0,112000.0,112000.0,114500.0,116000.0,124000.0,119000.0,115000.0,110000.0,111000.0,115000.0,121150.0,112750.0,103950.0,96500.0,108900.0,95000.0,95000.0,99900.0,101300.0,96250.0,95499.5,99000.0,94950.0,99950.0,99900.0,100000.0,99900.0,99000.0,99000.0,99700.0,99250.0,104900.0,107400.0,109900.0,115900.0,115000.0,109900.0,109500.0,114900.0,119900.0,120000.0,120000.0,120000.0,124950.0,135500.0,139000.0,132499.5,129900.0,129000.0,128500.0,129900.0,115000.0,109900.0,109900.0,105450.0,112450.0,109900.0,115900.0,113450.0,127000.0,129900.0,139000.0,139900.0,129900.0,141450.0,134950.0,129900.0,129900.0,129900.0,129900.0,127400.0,133450.0,139900.0,142400.0,136950.0,129900.0
Preble ,OH,,,,,,,,,,,,,,,,111200.0,109900.0,109900.0,107900.0,109950.0,109900.0,105394.0,104950.0,99900.0,94888.0,93500.0,99747.0,99900.0,109900.0,109900.0,118700.0,112373.5,107373.5,104900.0,109950.0,104888.0,99900.0,99900.0,94900.0,108888.0,112823.5,112823.5,117900.0,114900.0,117500.0,115900.0,115900.0,115900.0,115000.0,114888.0,115000.0,115000.0,119900.0,119900.0,123000.0,119975.0,115000.0,109900.0,105000.0,104900.0,99900.0,99000.0,98900.0,105000.0,104888.0,104823.5,109000.0,104623.5,104123.5,104500.0,104500.0,106450.0,109900.0,110000.0,110000.0,114450.0,111250.0,117900.0,117500.0,114900.0,114000.0,113250.0,119000.0,114900.0,109900.0,109950.0,112500.0,110000.0,112373.5,114823.5,115000.0,118500.0,112000.0,110000.0,114900.0,115000.0,124675.0,127500.0,126700.0,126900.0,130000.0,134500.0,124775.0,124900.0,125750.0,124900.0,124900.0,124900.0,125000.0,134900.0,135000.0,139900.0,139900.0,137747.0,139000.0,134900.0,134900.0
Jackson ,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109000.0,111950.0,118900.0,105000.0,106450.0,110850.0,110850.0,110000.0,109900.0,109900.0,109900.0,112400.0,109900.0,111000.0,109450.0,116900.0,115000.0,119000.0,119950.0,124950.0,119950.0,118200.0,109950.0,105000.0,119500.0,119700.0,119900.0,124900.0,119500.0,116900.0,116900.0,119900.0,118900.0,119900.0,119900.0,119500.0,118900.0,114700.0,119250.0,119900.0,119950.0,125000.0,119950.0,119950.0,118250.0,119900.0,120000.0,127500.0,134450.0,129900.0,127900.0,128450.0,124000.0
Wood ,OH,159900.0,159900.0,159900.0,164900.0,164500.0,164900.0,164900.0,165000.0,159900.0,159000.0,155000.0,150000.0,150845.0,144900.0,149900.0,149999.0,154900.0,150750.0,147900.0,145000.0,144500.0,139900.0,134900.0,134650.0,135000.0,139900.0,143450.0,142900.0,142000.0,144500.0,148000.0,149900.0,149950.0,149900.0,145000.0,144950.0,145000.0,146900.0,145000.0,149900.0,149900.0,153200.0,149900.0,149900.0,149900.0,169900.0,148352.5,147700.0,159500.0,161900.0,165000.0,159900.0,157450.0,157000.0,154900.0,154900.0,159000.0,155000.0,150450.0,150000.0,149900.0,154900.0,154700.0,155000.0,159900.0,159900.0,159900.0,161450.0,162000.0,163900.0,164900.0,159900.0,159900.0,159900.0,165000.0,174900.0,182900.0,189000.0,182450.0,189000.0,189250.0,179900.0,175000.0,173000.0,169900.0,174950.0,180250.0,203000.0,205000.0,207900.0,205450.0,205900.0,199900.0,199000.0,185000.0,192700.0,188900.0,199900.0,209900.0,199900.0,199900.0,194900.0,189900.0,189900.0,192000.0,185500.0,184900.0,184900.0,198150.0,200000.0,219900.0,214999.5,214900.0,214000.0,214900.0,213900.0,209900.0
Putnam ,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129900.0,129900.0,129900.0,128000.0,127250.0,128500.0,132400.0,129250.0,127000.0,123700.0,119500.0,119750.0,121000.0,122000.0,119500.0,119750.0,129000.0,129000.0,114000.0,114500.0,114000.0,127250.0,125000.0,129500.0,129700.0,125750.0,129000.0,130900.0,130900.0,134500.0,134700.0,119900.0,126000.0,129900.0,129900.0,125000.0,125000.0,126450.0,127900.0,127900.0,127900.0,122450.0,119900.0,109900.0,122450.0,113900.0,120000.0,116000.0,107400.0,109000.0,109000.0,111950.0,114900.0,117000.0,118000.0,114900.0,115450.0,119900.0,124400.0,126200.0,119450.0,120000.0,121450.0,120000.0,132450.0,137450.0,145000.0,140000.0,149000.0,144400.0,144900.0
Lake ,OH,149900.0,149900.0,149900.0,149900.0,150000.0,149900.0,149000.0,146500.0,144900.0,142900.0,139900.0,139900.0,135000.0,139000.0,139000.0,137900.0,138900.0,139000.0,135000.0,135000.0,134900.0,134900.0,134900.0,134900.0,137000.0,135750.0,136531.0,139000.0,139250.0,135000.0,134900.0,134900.0,129900.0,129950.0,129900.0,129900.0,129900.0,129900.0,130000.0,134981.0,135000.0,139500.0,139500.0,135450.0,139000.0,139500.0,135900.0,137700.0,131072.5,134850.0,134900.0,134900.0,132500.0,134900.0,135000.0,132200.0,130000.0,129900.0,129900.0,128500.0,128900.0,129900.0,134900.0,135900.0,139900.0,139900.0,139900.0,139900.0,139900.0,138900.0,135180.0,138000.0,137500.0,139900.0,144810.0,149900.0,149900.0,150000.0,149900.0,149900.0,149900.0,149900.0,149900.0,149900.0,149900.0,149810.5,149999.0,149900.0,154900.0,154900.0,154900.0,155000.0,159900.0,157500.0,157250.0,154900.0,150000.0,154900.0,159700.0,159900.0,159900.0,163000.0,164900.0,163500.0,159900.0,159900.0,160000.0,162500.0,164900.0,167900.0,169900.0,174900.0,174900.0,174900.0,179900.0,174900.0,174900.0
