Price-RangeQ32018,Number of Records,Q3 2018 Price
"Less than $150,000",1,"$139,839"
"Less than $150,000",1,"$105,228"
"Less than $150,000",1,"$91,900"
"$150,000-$350,000",1,"$191,734"
"Less than $150,000",1,"$127,263"
"$150,000-$350,000",1,"$179,371"
"Less than $150,000",1,"$118,380"
"Less than $150,000",1,"$123,071"
"$150,000-$350,000",1,"$153,609"
"Less than $150,000",1,"$97,167"
"Less than $150,000",1,"$122,986"
"Less than $150,000",1,"$93,190"
"Less than $150,000",1,"$110,710"
"Less than $150,000",1,"$95,985"
"$150,000-$350,000",1,"$199,721"
"Less than $150,000",1,"$146,437"
"Less than $150,000",1,"$99,532"
"Less than $150,000",1,"$131,897"
"Less than $150,000",1,"$85,451"
"Less than $150,000",1,"$149,942"
"Less than $150,000",1,"$107,485"
"Less than $150,000",1,"$140,149"
"Less than $150,000",1,"$106,196"
"Less than $150,000",1,"$137,379"
"Less than $150,000",1,"$126,725"
"Less than $150,000",1,"$109,205"
"Less than $150,000",1,"$146,503"
"Less than $150,000",1,"$87,705"
"Less than $150,000",1,"$122,856"
"$150,000-$350,000",1,"$163,508"
"Less than $150,000",1,"$121,991"
"Less than $150,000",1,"$118,127"
"Less than $150,000",1,"$138,946"
"Less than $150,000",1,"$80,875"
"Less than $150,000",1,"$101,799"
"Less than $150,000",1,"$103,938"
"Less than $150,000",1,"$120,921"
"$150,000-$350,000",1,"$166,798"
"Less than $150,000",1,"$113,997"
"Less than $150,000",1,"$113,827"
"Less than $150,000",1,"$133,705"
"Less than $150,000",1,"$113,720"
"Less than $150,000",1,"$145,418"
"Less than $150,000",1,"$98,435"
"Less than $150,000",1,"$89,668"
"Less than $150,000",1,"$129,697"
"Less than $150,000",1,"$82,381"
"Less than $150,000",1,"$72,664"
"$150,000-$350,000",1,"$155,504"
"$150,000-$350,000",1,"$162,020"
"Less than $150,000",1,"$137,830"
"$150,000-$350,000",1,"$163,922"
"Less than $150,000",1,"$139,942"
"Less than $150,000",1,"$117,340"
"Less than $150,000",1,"$118,396"
"Less than $150,000",1,"$82,170"
"Less than $150,000",1,"$134,556"
"Less than $150,000",1,"$98,857"
"$150,000-$350,000",1,"$151,877"
"Less than $150,000",1,"$128,324"
"Less than $150,000",1,"$94,210"
"Less than $150,000",1,"$111,003"
"Less than $150,000",1,"$110,897"
"Less than $150,000",1,"$122,198"
"Less than $150,000",1,"$123,043"
"Less than $150,000",1,"$118,713"
"Less than $150,000",1,"$98,646"
"$150,000-$350,000",1,"$258,355"
"Less than $150,000",1,"$115,228"
"Less than $150,000",1,"$80,585"
"Less than $150,000",1,"$133,077"
"Less than $150,000",1,"$107,095"
"$150,000-$350,000",1,"$185,780"
"$150,000-$350,000",1,"$176,332"
"Less than $150,000",1,"$90,513"
"Less than $150,000",1,"$95,900"
"Less than $150,000",1,"$108,151"
"Less than $150,000",1,"$91,992"
"Less than $150,000",1,"$105,828"
"Less than $150,000",1,"$93,893"
"Less than $150,000",1,"$137,289"
"Less than $150,000",1,"$119,568"
"Less than $150,000",1,"$104,455"
"Less than $150,000",1,"$103,082"
"Less than $150,000",1,"$96,428"
"Less than $150,000",1,"$116,842"
"Less than $150,000",1,"$113,960"
"Less than $150,000",1,"$113,749"
"Less than $150,000",1,"$99,174"
"Less than $150,000",1,"$97,062"
"$150,000-$350,000",1,"$151,982"
"Less than $150,000",1,"$123,571"
"Less than $150,000",1,"$129,697"
"Less than $150,000",1,"$120,720"
"$150,000-$350,000",1,"$240,534"
"Less than $150,000",1,"$137,513"
"Less than $150,000",1,"$88,401"
"Less than $150,000",1,"$110,158"
"Less than $150,000",1,"$95,266"
"$150,000-$350,000",1,"$165,815"
"Less than $150,000",1,"$110,052"
"Less than $150,000",1,"$89,668"
"Less than $150,000",1,"$132,232"
"$150,000-$350,000",1,"$170,325"
"Less than $150,000",1,"$116,284"
"$150,000-$350,000",1,"$155,151"
"Less than $150,000",1,"$110,475"
"$150,000-$350,000",1,"$170,485"
"Less than $150,000",1,"$118,607"
"Less than $150,000",1,"$89,035"
"Less than $150,000",1,"$104,666"
"Less than $150,000",1,"$86,394"
"Less than $150,000",1,"$135,295"
"Less than $150,000",1,"$114,066"
"Less than $150,000",1,"$94,527"
"Less than $150,000",1,"$92,520"
"Less than $150,000",1,"$103,610"
"$150,000-$350,000",1,"$158,636"
"Less than $150,000",1,"$77,523"
"$150,000-$350,000",1,"$191,881"
"$150,000-$350,000",1,"$153,653"
"Less than $150,000",1,"$138,463"
"Less than $150,000",1,"$84,071"
"Less than $150,000",1,"$93,048"
"$150,000-$350,000",1,"$164,080"
"Less than $150,000",1,"$117,974"
"$150,000-$350,000",1,"$162,438"
"$150,000-$350,000",1,"$208,201"
"Less than $150,000",1,"$111,214"
"Less than $150,000",1,"$80,374"
"Less than $150,000",1,"$99,596"
"Less than $150,000",1,"$87,345"
"Less than $150,000",1,"$85,549"
"$150,000-$350,000",1,"$182,006"
"Less than $150,000",1,"$149,165"
"Less than $150,000",1,"$78,896"
"Less than $150,000",1,"$100,653"
"Less than $150,000",1,"$99,702"
"$150,000-$350,000",1,"$170,571"
"Less than $150,000",1,"$132,455"
"Less than $150,000",1,"$103,504"
"Less than $150,000",1,"$83,648"
"Less than $150,000",1,"$81,121"
"Less than $150,000",1,"$91,028"
"Less than $150,000",1,"$95,879"
"Less than $150,000",1,"$78,024"
"Less than $150,000",1,"$90,409"
"Less than $150,000",1,"$85,249"
"Less than $150,000",1,"$86,591"
"$150,000-$350,000",1,"$163,168"
"Less than $150,000",1,"$87,932"
"Less than $150,000",1,"$65,330"
"Less than $150,000",1,"$80,914"
"Less than $150,000",1,"$89,377"
"Less than $150,000",1,"$78,850"
"Less than $150,000",1,"$103,413"
"Less than $150,000",1,"$75,547"
"Less than $150,000",1,"$114,560"
"Less than $150,000",1,"$75,547"
"Less than $150,000",1,"$88,448"
"Less than $150,000",1,"$90,100"
"Less than $150,000",1,"$65,433"
"Less than $150,000",1,"$114,250"
"Less than $150,000",1,"$106,624"
"$150,000-$350,000",1,"$224,812"
"Less than $150,000",1,"$63,163"
"Less than $150,000",1,"$49,849"
"$150,000-$350,000",1,"$164,512"
"Less than $150,000",1,"$91,338"
"Less than $150,000",1,"$130,247"
"Less than $150,000",1,"$111,876"
"Less than $150,000",1,"$133,760"
"Less than $150,000",1,"$146,955"
"Less than $150,000",1,"$81,430"
"Less than $150,000",1,"$71,832"
"Less than $150,000",1,"$106,097"
"Less than $150,000",1,"$121,681"
"Less than $150,000",1,"$88,861"
"Less than $150,000",1,"$63,059"
"Less than $150,000",1,"$89,584"
"Less than $150,000",1,"$68,839"
"Less than $150,000",1,"$127,854"
"Less than $150,000",1,"$105,890"
"Less than $150,000",1,"$89,480"
"Less than $150,000",1,"$134,007"
"Less than $150,000",1,"$142,062"
"Less than $150,000",1,"$55,422"
"$150,000-$350,000",1,"$280,489"
"Less than $150,000",1,"$101,349"
"Less than $150,000",1,"$95,157"
"Less than $150,000",1,"$138,091"
"Less than $150,000",1,"$77,302"
"Less than $150,000",1,"$78,850"
"$150,000-$350,000",1,"$195,199"
"Less than $150,000",1,"$71,110"
"Less than $150,000",1,"$98,259"
"Less than $150,000",1,"$85,765"
"Less than $150,000",1,"$101,659"
"Less than $150,000",1,"$144,799"
"Less than $150,000",1,"$83,907"
"Less than $150,000",1,"$96,395"
"Less than $150,000",1,"$91,544"
"$150,000-$350,000",1,"$199,046"
"Less than $150,000",1,"$88,448"
"Less than $150,000",1,"$76,373"
"Less than $150,000",1,"$98,150"
"Less than $150,000",1,"$100,833"
"Less than $150,000",1,"$120,236"
"Less than $150,000",1,"$79,779"
"Less than $150,000",1,"$72,761"
"Less than $150,000",1,"$76,063"
"Less than $150,000",1,"$112,143"
"Less than $150,000",1,"$63,266"
"Less than $150,000",1,"$101,762"
"Less than $150,000",1,"$78,024"
"Less than $150,000",1,"$79,366"
"$150,000-$350,000",1,"$175,331"
"Less than $150,000",1,"$90,409"
"Less than $150,000",1,"$84,320"
"Less than $150,000",1,"$99,698"
"Less than $150,000",1,"$62,440"
"Less than $150,000",1,"$77,199"
"$150,000-$350,000",1,"$208,057"
"Less than $150,000",1,"$77,818"
"Less than $150,000",1,"$72,142"
"Less than $150,000",1,"$92,989"
"Less than $150,000",1,"$129,421"
"Less than $150,000",1,"$140,258"
"$150,000-$350,000",1,"$150,616"
"Less than $150,000",1,"$101,659"
"Less than $150,000",1,"$137,145"
"Less than $150,000",1,"$104,239"
"Less than $150,000",1,"$89,068"
"Less than $150,000",1,"$68,323"
"Less than $150,000",1,"$63,782"
"Less than $150,000",1,"$74,206"
"Less than $150,000",1,"$113,528"
"Less than $150,000",1,"$92,327"
"Less than $150,000",1,"$117,656"
"Less than $150,000",1,"$87,107"
"Less than $150,000",1,"$117,060"
"Less than $150,000",1,"$91,132"
"Less than $150,000",1,"$77,715"
"Less than $150,000",1,"$86,694"
"Less than $150,000",1,"$68,839"
"Less than $150,000",1,"$54,906"
"Less than $150,000",1,"$119,142"
"Less than $150,000",1,"$90,555"
"Less than $150,000",1,"$108,054"
"Less than $150,000",1,"$146,111"
"Less than $150,000",1,"$108,160"
"Less than $150,000",1,"$116,382"
"Less than $150,000",1,"$82,121"
"Less than $150,000",1,"$62,619"
"Less than $150,000",1,"$105,328"
"Less than $150,000",1,"$104,720"
"Less than $150,000",1,"$148,746"
"Less than $150,000",1,"$52,709"
"Less than $150,000",1,"$100,359"
"Less than $150,000",1,"$95,299"
"Less than $150,000",1,"$100,464"
"Less than $150,000",1,"$137,150"
"Less than $150,000",1,"$94,034"
"Less than $150,000",1,"$109,425"
"Less than $150,000",1,"$87,814"
"Less than $150,000",1,"$81,805"
"Less than $150,000",1,"$58,613"
"Less than $150,000",1,"$69,682"
"Less than $150,000",1,"$89,184"
"Less than $150,000",1,"$95,193"
"Less than $150,000",1,"$76,640"
"Less than $150,000",1,"$74,847"
"Less than $150,000",1,"$94,772"
"Less than $150,000",1,"$76,850"
"Less than $150,000",1,"$146,848"
"Less than $150,000",1,"$67,046"
"Less than $150,000",1,"$138,099"
"Less than $150,000",1,"$100,780"
"Less than $150,000",1,"$107,738"
"Less than $150,000",1,"$79,907"
"Less than $150,000",1,"$56,399"
"Less than $150,000",1,"$140,102"
"Less than $150,000",1,"$95,088"
"Less than $150,000",1,"$74,004"
"Less than $150,000",1,"$101,835"
"Less than $150,000",1,"$73,688"
"Less than $150,000",1,"$95,193"
"Less than $150,000",1,"$54,818"
"Less than $150,000",1,"$81,067"
"Less than $150,000",1,"$107,527"
"Less than $150,000",1,"$84,757"
"Less than $150,000",1,"$67,679"
"Less than $150,000",1,"$51,550"
"Less than $150,000",1,"$61,670"
"Less than $150,000",1,"$72,001"
"Less than $150,000",1,"$101,308"
"Less than $150,000",1,"$95,720"
"Less than $150,000",1,"$111,111"
"Less than $150,000",1,"$129,560"
"$150,000-$350,000",1,"$156,442"
"Less than $150,000",1,"$64,622"
"$150,000-$350,000",1,"$168,354"
"Less than $150,000",1,"$66,730"
"Less than $150,000",1,"$105,841"
"Less than $150,000",1,"$124,500"
"Less than $150,000",1,"$69,049"
"Less than $150,000",1,"$117,226"
"Less than $150,000",1,"$82,016"
"Less than $150,000",1,"$147,481"
"Less than $150,000",1,"$79,275"
"Less than $150,000",1,"$78,537"
"Less than $150,000",1,"$124,605"
"Less than $150,000",1,"$81,700"
"Less than $150,000",1,"$86,443"
"Less than $150,000",1,"$86,549"
"Less than $150,000",1,"$93,085"
"Less than $150,000",1,"$104,470"
"Less than $150,000",1,"$73,793"
"Less than $150,000",1,"$77,272"
"Less than $150,000",1,"$79,486"
"Less than $150,000",1,"$84,124"
"Less than $150,000",1,"$115,012"
"Less than $150,000",1,"$99,621"
"Less than $150,000",1,"$85,178"
"Less than $150,000",1,"$127,662"
"Less than $150,000",1,"$92,031"
"Less than $150,000",1,"$137,572"
"Less than $150,000",1,"$112,482"
"Less than $150,000",1,"$99,937"
"Less than $150,000",1,"$87,603"
"Less than $150,000",1,"$111,322"
"Less than $150,000",1,"$85,811"
"Less than $150,000",1,"$88,341"
"Less than $150,000",1,"$69,260"
"$150,000-$350,000",1,"$158,752"
"Less than $150,000",1,"$112,659"
"Less than $150,000",1,"$124,492"
"Less than $150,000",1,"$85,245"
"Less than $150,000",1,"$92,601"
"$150,000-$350,000",1,"$177,121"
"$150,000-$350,000",1,"$176,684"
"Less than $150,000",1,"$135,357"
"$150,000-$350,000",1,"$187,203"
"$150,000-$350,000",1,"$151,137"
"$150,000-$350,000",1,"$155,430"
"$150,000-$350,000",1,"$308,928"
"$150,000-$350,000",1,"$198,474"
"$150,000-$350,000",1,"$204,915"
"Less than $150,000",1,"$118,612"
"$150,000-$350,000",1,"$206,574"
"Less than $150,000",1,"$110,353"
"$150,000-$350,000",1,"$194,708"
"Less than $150,000",1,"$118,551"
"Less than $150,000",1,"$129,122"
"$150,000-$350,000",1,"$171,732"
"Less than $150,000",1,"$114,775"
"$150,000-$350,000",1,"$156,812"
"$150,000-$350,000",1,"$150,644"
"$150,000-$350,000",1,"$208,975"
"$150,000-$350,000",1,"$177,807"
"$150,000-$350,000",1,"$184,841"
"$150,000-$350,000",1,"$203,672"
"Less than $150,000",1,"$144,685"
"Less than $150,000",1,"$115,896"
"Less than $150,000",1,"$102,830"
"Less than $150,000",1,"$136,786"
"Less than $150,000",1,"$133,110"
"Less than $150,000",1,"$100,856"
"Less than $150,000",1,"$87,719"
"Less than $150,000",1,"$118,544"
"Less than $150,000",1,"$93,718"
"Less than $150,000",1,"$119,165"
"Less than $150,000",1,"$78,616"
"Less than $150,000",1,"$70,134"
"Less than $150,000",1,"$81,409"
"Less than $150,000",1,"$76,650"
"Less than $150,000",1,"$81,202"
"Less than $150,000",1,"$70,547"
"Less than $150,000",1,"$93,098"
"Less than $150,000",1,"$86,064"
"Less than $150,000",1,"$126,820"
"Less than $150,000",1,"$87,305"
"Less than $150,000",1,"$105,304"
"Less than $150,000",1,"$79,340"
"$150,000-$350,000",1,"$150,922"
"Less than $150,000",1,"$66,306"
"Less than $150,000",1,"$87,822"
"Less than $150,000",1,"$118,027"
"Less than $150,000",1,"$88,857"
"Less than $150,000",1,"$89,891"
"Less than $150,000",1,"$87,098"
"Less than $150,000",1,"$141,095"
"Less than $150,000",1,"$112,855"
"Less than $150,000",1,"$100,339"
"$150,000-$350,000",1,"$162,921"
"Less than $150,000",1,"$64,341"
"Less than $150,000",1,"$109,338"
"Less than $150,000",1,"$120,613"
"Less than $150,000",1,"$87,512"
"Less than $150,000",1,"$84,409"
"Less than $150,000",1,"$82,133"
"Less than $150,000",1,"$75,202"
"$150,000-$350,000",1,"$158,589"
"Less than $150,000",1,"$92,973"
"$150,000-$350,000",1,"$170,265"
"Less than $150,000",1,"$148,882"
"Less than $150,000",1,"$109,913"
"$150,000-$350,000",1,"$189,276"
"Less than $150,000",1,"$114,975"
"$150,000-$350,000",1,"$156,766"
"$150,000-$350,000",1,"$151,454"
"$150,000-$350,000",1,"$220,203"
"$150,000-$350,000",1,"$199,540"
"Less than $150,000",1,"$129,513"
"Less than $150,000",1,"$133,061"
"$150,000-$350,000",1,"$170,318"
"Less than $150,000",1,"$129,930"
"Less than $150,000",1,"$80,776"
"$150,000-$350,000",1,"$184,720"
"$150,000-$350,000",1,"$218,742"
"$150,000-$350,000",1,"$191,973"
"$150,000-$350,000",1,"$237,027"
"$150,000-$350,000",1,"$172,620"
"Less than $150,000",1,"$144,838"
"$150,000-$350,000",1,"$193,326"
"$150,000-$350,000",1,"$158,989"
"$150,000-$350,000",1,"$222,980"
"Less than $150,000",1,"$95,302"
"Less than $150,000",1,"$144,785"
"$150,000-$350,000",1,"$175,572"
"Less than $150,000",1,"$117,365"
"Less than $150,000",1,"$104,510"
"Less than $150,000",1,"$141,036"
"$150,000-$350,000",1,"$214,504"
"$150,000-$350,000",1,"$168,768"
"$150,000-$350,000",1,"$206,536"
"$150,000-$350,000",1,"$219,263"
"Less than $150,000",1,"$141,968"
"Less than $150,000",1,"$120,134"
"Less than $150,000",1,"$111,753"
"$150,000-$350,000",1,"$165,353"
"Less than $150,000",1,"$113,822"
"Less than $150,000",1,"$143,831"
"$150,000-$350,000",1,"$294,008"
"$150,000-$350,000",1,"$214,430"
"$150,000-$350,000",1,"$266,694"
"$150,000-$350,000",1,"$165,103"
"Less than $150,000",1,"$113,677"
"Less than $150,000",1,"$136,400"
"$150,000-$350,000",1,"$174,301"
"$150,000-$350,000",1,"$212,183"
"$150,000-$350,000",1,"$189,088"
"$150,000-$350,000",1,"$176,222"
"$150,000-$350,000",1,"$250,359"
"$150,000-$350,000",1,"$310,049"
"$150,000-$350,000",1,"$344,112"
"$150,000-$350,000",1,"$265,862"
"$350,000-$550,000",1,"$375,376"
"$150,000-$350,000",1,"$270,641"
"$350,000-$550,000",1,"$350,885"
"$150,000-$350,000",1,"$304,823"
"$350,000-$550,000",1,"$463,227"
"$350,000-$550,000",1,"$357,659"
"$150,000-$350,000",1,"$160,905"
"$350,000-$550,000",1,"$377,143"
"$150,000-$350,000",1,"$337,455"
"$350,000-$550,000",1,"$354,540"
"$350,000-$550,000",1,"$507,032"
"$150,000-$350,000",1,"$318,036"
"$150,000-$350,000",1,"$253,944"
"$150,000-$350,000",1,"$234,256"
"$550,000-$750,000",1,"$709,166"
"$1,000,000 and more",1,"$1,046,929"
"$150,000-$350,000",1,"$304,539"
"$350,000-$550,000",1,"$436,005"
"$350,000-$550,000",1,"$436,610"
"$550,000-$750,000",1,"$550,958"
"$350,000-$550,000",1,"$509,719"
"$350,000-$550,000",1,"$396,341"
"$350,000-$550,000",1,"$535,130"
"$150,000-$350,000",1,"$327,444"
"$150,000-$350,000",1,"$223,466"
"Less than $150,000",1,"$111,250"
"Less than $150,000",1,"$120,969"
"$150,000-$350,000",1,"$180,159"
"Less than $150,000",1,"$103,715"
"Less than $150,000",1,"$128,563"
"$150,000-$350,000",1,"$172,858"
"Less than $150,000",1,"$101,554"
"$150,000-$350,000",1,"$163,675"
"Less than $150,000",1,"$96,044"
"Less than $150,000",1,"$100,582"
"$150,000-$350,000",1,"$175,235"
"Less than $150,000",1,"$105,551"
"$150,000-$350,000",1,"$171,561"
"Less than $150,000",1,"$126,294"
"Less than $150,000",1,"$120,028"
"Less than $150,000",1,"$91,831"
"Less than $150,000",1,"$99,285"
"Less than $150,000",1,"$114,410"
"Less than $150,000",1,"$99,501"
"$150,000-$350,000",1,"$184,850"
"Less than $150,000",1,"$108,576"
"Less than $150,000",1,"$75,733"
"$150,000-$350,000",1,"$213,912"
"Less than $150,000",1,"$99,501"
"Less than $150,000",1,"$114,086"
"Less than $150,000",1,"$110,629"
"Less than $150,000",1,"$103,931"
"Less than $150,000",1,"$96,152"
"Less than $150,000",1,"$82,864"
"Less than $150,000",1,"$147,037"
"Less than $150,000",1,"$113,762"
"Less than $150,000",1,"$103,499"
"Less than $150,000",1,"$87,293"
"$150,000-$350,000",1,"$268,902"
"$150,000-$350,000",1,"$153,195"
"Less than $150,000",1,"$89,886"
"Less than $150,000",1,"$135,153"
"Less than $150,000",1,"$125,538"
"$150,000-$350,000",1,"$167,348"
"Less than $150,000",1,"$136,774"
"Less than $150,000",1,"$123,918"
"Less than $150,000",1,"$103,607"
"$150,000-$350,000",1,"$151,467"
"Less than $150,000",1,"$115,707"
"Less than $150,000",1,"$109,117"
"Less than $150,000",1,"$101,338"
"Less than $150,000",1,"$114,842"
"Less than $150,000",1,"$96,800"
"Less than $150,000",1,"$75,085"
"Less than $150,000",1,"$98,745"
"Less than $150,000",1,"$90,102"
"Less than $150,000",1,"$134,073"
"Less than $150,000",1,"$105,659"
"Less than $150,000",1,"$101,554"
"Less than $150,000",1,"$120,136"
"Less than $150,000",1,"$109,441"
"Less than $150,000",1,"$113,438"
"Less than $150,000",1,"$143,904"
"Less than $150,000",1,"$106,740"
"Less than $150,000",1,"$104,255"
"Less than $150,000",1,"$123,882"
"$150,000-$350,000",1,"$182,073"
"$150,000-$350,000",1,"$278,927"
"$150,000-$350,000",1,"$184,511"
"$150,000-$350,000",1,"$270,172"
"$150,000-$350,000",1,"$171,656"
"Less than $150,000",1,"$126,775"
"$150,000-$350,000",1,"$172,856"
"Less than $150,000",1,"$148,536"
"$150,000-$350,000",1,"$285,608"
"Less than $150,000",1,"$141,256"
"$150,000-$350,000",1,"$163,185"
"Less than $150,000",1,"$112,807"
"$150,000-$350,000",1,"$161,183"
"Less than $150,000",1,"$128,902"
"$150,000-$350,000",1,"$191,591"
"Less than $150,000",1,"$115,131"
"$150,000-$350,000",1,"$192,958"
"$150,000-$350,000",1,"$169,968"
"Less than $150,000",1,"$146,434"
"Less than $150,000",1,"$143,156"
"Less than $150,000",1,"$132,993"
"$150,000-$350,000",1,"$176,986"
"$150,000-$350,000",1,"$175,144"
"$150,000-$350,000",1,"$199,997"
"$150,000-$350,000",1,"$191,807"
"$150,000-$350,000",1,"$152,758"
"$150,000-$350,000",1,"$182,360"
"$150,000-$350,000",1,"$196,147"
"$150,000-$350,000",1,"$164,910"
"Less than $150,000",1,"$104,483"
"Less than $150,000",1,"$145,737"
"$150,000-$350,000",1,"$192,485"
"Less than $150,000",1,"$112,561"
"Less than $150,000",1,"$132,273"
"$150,000-$350,000",1,"$260,022"
"Less than $150,000",1,"$96,296"
"$150,000-$350,000",1,"$202,610"
"$150,000-$350,000",1,"$212,412"
"Less than $150,000",1,"$93,173"
"$150,000-$350,000",1,"$159,740"
"Less than $150,000",1,"$113,208"
"$150,000-$350,000",1,"$206,165"
"Less than $150,000",1,"$112,992"
"$150,000-$350,000",1,"$196,794"
"$150,000-$350,000",1,"$168,142"
"Less than $150,000",1,"$122,902"
"$150,000-$350,000",1,"$158,555"
"$150,000-$350,000",1,"$179,883"
"Less than $150,000",1,"$77,339"
"Less than $150,000",1,"$116,654"
"Less than $150,000",1,"$87,356"
"$150,000-$350,000",1,"$178,590"
"Less than $150,000",1,"$138,305"
"$150,000-$350,000",1,"$205,411"
"Less than $150,000",1,"$102,652"
"Less than $150,000",1,"$146,383"
"$150,000-$350,000",1,"$162,002"
"Less than $150,000",1,"$104,806"
"Less than $150,000",1,"$112,561"
"Less than $150,000",1,"$121,071"
"$150,000-$350,000",1,"$174,066"
"$150,000-$350,000",1,"$163,079"
"$150,000-$350,000",1,"$171,373"
"Less than $150,000",1,"$123,548"
"Less than $150,000",1,"$116,008"
"Less than $150,000",1,"$127,426"
"Less than $150,000",1,"$95,327"
"$150,000-$350,000",1,"$184,083"
"Less than $150,000",1,"$143,583"
"$150,000-$350,000",1,"$163,295"
"Less than $150,000",1,"$98,235"
"$150,000-$350,000",1,"$176,220"
"Less than $150,000",1,"$115,577"
"Less than $150,000",1,"$104,914"
"Less than $150,000",1,"$107,822"
"$150,000-$350,000",1,"$221,137"
"Less than $150,000",1,"$143,906"
"Less than $150,000",1,"$127,641"
"$150,000-$350,000",1,"$153,816"
"$150,000-$350,000",1,"$166,203"
"$150,000-$350,000",1,"$162,433"
"Less than $150,000",1,"$109,976"
"$150,000-$350,000",1,"$151,877"
"Less than $150,000",1,"$85,956"
"Less than $150,000",1,"$128,072"
"$150,000-$350,000",1,"$159,201"
"Less than $150,000",1,"$101,790"
"Less than $150,000",1,"$123,225"
"$150,000-$350,000",1,"$170,619"
"Less than $150,000",1,"$106,745"
"$150,000-$350,000",1,"$174,914"
"$150,000-$350,000",1,"$191,803"
"$150,000-$350,000",1,"$173,220"
"$150,000-$350,000",1,"$167,581"
"$150,000-$350,000",1,"$250,984"
"$150,000-$350,000",1,"$344,435"
"$150,000-$350,000",1,"$225,329"
"$150,000-$350,000",1,"$290,395"
"$150,000-$350,000",1,"$300,111"
"$150,000-$350,000",1,"$188,757"
"$150,000-$350,000",1,"$252,295"
"$150,000-$350,000",1,"$320,090"
"$150,000-$350,000",1,"$267,469"
"$150,000-$350,000",1,"$315,068"
"$150,000-$350,000",1,"$249,893"
"$150,000-$350,000",1,"$180,398"
"$150,000-$350,000",1,"$241,641"
"$150,000-$350,000",1,"$179,754"
"Less than $150,000",1,"$137,041"
"$150,000-$350,000",1,"$176,658"
"Less than $150,000",1,"$84,775"
"Less than $150,000",1,"$95,925"
"Less than $150,000",1,"$128,957"
"$150,000-$350,000",1,"$235,722"
"$150,000-$350,000",1,"$163,625"
"Less than $150,000",1,"$88,766"
"$150,000-$350,000",1,"$185,279"
"Less than $150,000",1,"$101,817"
"Less than $150,000",1,"$115,962"
"Less than $150,000",1,"$103,653"
"Less than $150,000",1,"$93,825"
"Less than $150,000",1,"$88,968"
"Less than $150,000",1,"$80,082"
"Less than $150,000",1,"$75,122"
"Less than $150,000",1,"$72,642"
"Less than $150,000",1,"$92,068"
"Less than $150,000",1,"$68,818"
"Less than $150,000",1,"$93,928"
"Less than $150,000",1,"$65,925"
"Less than $150,000",1,"$79,772"
"Less than $150,000",1,"$63,032"
"Less than $150,000",1,"$74,398"
"Less than $150,000",1,"$83,905"
"Less than $150,000",1,"$64,479"
"Less than $150,000",1,"$80,185"
"Less than $150,000",1,"$77,188"
"Less than $150,000",1,"$83,388"
"Less than $150,000",1,"$96,305"
"Less than $150,000",1,"$52,285"
"Less than $150,000",1,"$66,339"
"Less than $150,000",1,"$51,872"
"Less than $150,000",1,"$89,898"
"Less than $150,000",1,"$69,542"
"Less than $150,000",1,"$59,002"
"Less than $150,000",1,"$83,285"
"Less than $150,000",1,"$89,691"
"Less than $150,000",1,"$73,262"
"$150,000-$350,000",1,"$183,206"
"Less than $150,000",1,"$101,264"
"Less than $150,000",1,"$92,068"
"Less than $150,000",1,"$83,491"
"Less than $150,000",1,"$136,707"
"Less than $150,000",1,"$78,635"
"Less than $150,000",1,"$97,958"
"Less than $150,000",1,"$127,510"
"Less than $150,000",1,"$81,115"
"Less than $150,000",1,"$90,001"
"Less than $150,000",1,"$80,495"
"Less than $150,000",1,"$83,078"
"Less than $150,000",1,"$82,975"
"Less than $150,000",1,"$59,312"
"$150,000-$350,000",1,"$151,277"
"Less than $150,000",1,"$76,258"
"Less than $150,000",1,"$126,994"
"Less than $150,000",1,"$90,415"
"Less than $150,000",1,"$105,501"
"Less than $150,000",1,"$93,515"
"Less than $150,000",1,"$53,112"
"Less than $150,000",1,"$73,882"
"Less than $150,000",1,"$52,802"
"Less than $150,000",1,"$82,355"
"Less than $150,000",1,"$73,985"
"Less than $150,000",1,"$65,512"
"Less than $150,000",1,"$88,865"
"Less than $150,000",1,"$85,455"
"Less than $150,000",1,"$95,581"
"Less than $150,000",1,"$105,294"
"Less than $150,000",1,"$118,417"
"Less than $150,000",1,"$76,878"
"Less than $150,000",1,"$82,768"
"Less than $150,000",1,"$79,978"
"Less than $150,000",1,"$62,412"
"Less than $150,000",1,"$80,185"
"Less than $150,000",1,"$77,705"
"Less than $150,000",1,"$81,322"
"Less than $150,000",1,"$141,809"
"$150,000-$350,000",1,"$165,728"
"Less than $150,000",1,"$121,627"
"Less than $150,000",1,"$138,639"
"$150,000-$350,000",1,"$170,133"
"Less than $150,000",1,"$123,885"
"Less than $150,000",1,"$147,009"
"Less than $150,000",1,"$123,689"
"Less than $150,000",1,"$86,172"
"Less than $150,000",1,"$100,674"
"Less than $150,000",1,"$118,329"
"Less than $150,000",1,"$102,461"
"Less than $150,000",1,"$120,431"
"Less than $150,000",1,"$109,922"
"$150,000-$350,000",1,"$185,270"
"Less than $150,000",1,"$85,962"
"Less than $150,000",1,"$95,000"
"Less than $150,000",1,"$97,417"
"Less than $150,000",1,"$85,437"
"Less than $150,000",1,"$89,325"
"Less than $150,000",1,"$135,458"
"Less than $150,000",1,"$79,552"
"Less than $150,000",1,"$106,244"
"Less than $150,000",1,"$112,759"
"Less than $150,000",1,"$106,874"
